unique_id/0,unique_id/1,asin,product_name,product_type/0,product_type/1,helpful,rating,title,date,reviewer,reviewer_location,review_text
"0743518144:ok~_but_i_think_the_keirsey_temperment_test_is_more_accurate_-_and_cheaper.:jen_""the_truthsayer""",389,0743518144,"Now, Discover Your Strengths: Books: Marcus Buckingham,Donald O. Clifton",books,books,7 of 8,2.0,Ok~ but I think the Keirsey Temperment Test is more accurate - and cheaper.,"September 10, 2006","Jen ""the truthsayer""","DE, USA","This book has its good points. If anything, it helps you put into words what you want  from a supervisor, but it is not very accurate. The online test does not account for a difference between when 2 of their options are both exactly like you, or if they don't describe you at all. This messes up the results, and it did not describe me very well. I am not just in denial. I have taken a lot of personality type tests, like the Keirsey Temperment sorter and have a pretty good idea of my strengths. So, although this book is pretty good in making you understand the importance of incouraging your strengths, it still leaves you wondering about how you fit in to their terminology.

As for using this book as a manager to better serve your employees, I'v seen it done and it does not necessarily work because the strengths spit out for people were not wholly accurate. The company I work for has done this, and most of the people who were shifted around to better serve their strengths (according to this book) are very unhappy in their new positions.

Your money can be spent better elsewhere. I say its only worth about $10"
0895261715:repellent_sale_of_conservativism:e._david_swan,622,0895261715,The Conservative Mind: From Burke to Eliot: Books: Russell Kirk,books,books,32 of 95,2.0,Repellent Sale of Conservativism,"August 18, 2005",E. David Swan,"South Euclid, Ohio USA","The fatalistic view of Conservativism is expressed by Kirk even before the first chapter concludes as he states, ""[Edmund] Burke, could he see our century, never would concede that a consumption-society, so near suicide, is the end for which Providence has prepared man"".  But wait. The Conservative Mind was first published in 1953, the mythical golden age of America with Ward and June Cleaver and Normal Rockwell. Meanwhile, Burke, a contemporary of the 18th century is pining for the 14th century. What a depressing ideology to think that we always live in the worst of times.

There are certain ideological threads that carry throughout the book including a belief in the stratification of society. Voting should be the privilege of a small minority rather than universal democracy which Kirk saw as contributing to a degradation of society. Kirk writes, ""What men really are seeking, or ought to seek, is not the right to govern themselves, but the right to be governed well"" but what he offers is a lack of true representation. The author pines for the days of the aristocrat and although he defines the elites by wealth, intellect and lineage he clearly includes race and gender. Is it so surprising that Kirk lauds some of the worst racists in American history like Nathanial Bedford Forrest whom he describes as `magnificent' before quoting his racist vitriol? In a particularly galling move he referrers to pro-slavery advocate John C. Calhoun as a `defender of minorities' and praises John Randolph for, among other things, opposing doctrines of racial equality. Kirk goes on about Calhoun's support for states rights but his support only extended to southern states as he supported the Fugitive Slave Act which forced federal officials and law officials in Northern states to return runaway slave under penalty of $1000 fine. He supported laws that would make it illegal for northerners to even protest slavery. For Calhoun states rights were nothing more than a self serving attempt to keep slavery safe. Kirk shows his own racist stripes when he refers to northern `anti-slavery agitation' and supports Calhoun for choosing racial preservation over liberty, although Calhoun has an extremely warped view of liberty. One wonders if Kirk could even fathom the supreme irony in stating the Calhoun mounted a `strong protest against domination by class or region'.

Another thread is his desire to see the reunification of church and state. The duty of the church is to keep the unclean masses in line. Quoting Samuel Coleridge, the author makes it clear that the truth or falsity of the church is irrelevant; it is an institution that must be preserved as the primary means of social control. Sounding like the inspiration for disgraced Chief Justice Roy Moore, Russell Kirk urges that, ""state and church ought never to be separate entities, true religion is not merely an expression of national spirit; it rises far superior to earthly law, being, indeed, the source of all law"". Kirk sees a difference between the faulty laws of man and the laws of God but never draws a distinction. I have to wonder if, like the modern Reconstructionist, Kirk wanted to see the laws of Leviticus imposed including executing homosexuals and blasphemers. He never explains how one might recognize a law of God besides using prejudice.

The third thread would be Kirk's anti-intellectual (or perhaps pro-stupid) stance. He refers to human reason as `puny' and `impotent' and claims that we find the mind of God in prejudice and tradition. `Prejudice', he writes, `is of ready application in the emergency; it previously engages the mind in a steady course of wisdom and virtue, and does not leave the man hesitating in the moment of decision, skeptical, puzzled, and unresolved'. Actually what he is advocating is for the general population to turn over rational thought to the church and those higher up the social chain. Citizens are encouraged to exhibit awe and veneration for God and those in higher stations and authority.

In order to grab the golden fleece of populism Conservatives have lately had to abandon overt stratification although veneration of wealth is certainly still evident. Like Calhoun the support for states rights remains a complete facade. I found Russell Kirk's salesmanship of Conservativism generally repellent but recommend the book because it remains a fairly enlightening view of an ideology that continues to thrive to this day."
0787978949:i_had_a_bad_feeling_about_this!__and_i_was_right!:z._fu,1974,0787978949,Christian Wisdom of the Jedi Masters: Books: Dick Staub,books,books,6 of 12,1.0,I had a bad feeling about this!  And I was right!,"December 4, 2005",Z. Fu,"New York, NY","I was intrigued by the title, which supposedly links Jedi wisdom to Christianity.  Well, after 60 pages or so, I have got the feeling that the Staub is trying to wrap Jedi in Christian cloth and failing at that. The author speaks of the difficulty in leading a Christian life.  But, I say that any religious life (be it Christian, Islam or otherwise) is hard because it turns the back on the norm or the conventional.

I am convinced that Yoda is a Zen master; the Force is derived from Tao, not God as interpreted by the orthodox religion(I am purposefully leaving out Christian Mysticism, which is another beast altogether.). A better book on the subject of theology in Star wars is ""The Dharma of Star Wars."""
"055380121X:lost_credability,_quickly!!:chalupa",4423,055380121X,The Wisdom of Menopause: Creating Physical and Emotional Health and Healing During the Change: Books: Christiane Northrup,books,books,12 of 15,2.0,"Lost Credability, QUICKLY!!","July 10, 2005",Chalupa,Central California,"I admit, I haven't finished this book.  A friend recommended it to me as I have been having problems with insomnia.  I was interested in reading a book about women's health issues and this one sounded intriguing UNTIL she started in with her tarot cards, interest in astrology and angels.  Granted, I am not a firm believer in just ""the hard facts"" but its really hard to believe anything this woman writes after it is clear that common sense isn't alternative enough for her!"
"0521662559:poorly_written:""dunner""",5927,0521662559,The Creation of America: Through Revolution to Empire: Books: Francis Jennings,books,books,6 of 22,2.0,Poorly written,"October 16, 2000","""dunner""","Washington, DC USA","I tried reading this book but found it so turgid and poorly written that I put it down in frustration.  It reads like a translation from another language by an academic bureacrat. The theme is interesting, the execution poor.  Cannot recommend"
0515136263:the_book_felt_more_like_the_author_was_forced_to_write_this_book:andromeda,6708,0515136263,Chesapeake Blue: The Chesapeake Bay Saga #4: Books: Nora Roberts,books,books,7 of 11,2.0,The book felt more like the author was forced to write this book,"December 31, 2005",Andromeda,USA,"Why is it ever time you want something bad enough it usually turns out bad? After the wonderful Quinn trilogy fans (including me) begged and begged for Nora Roberts to write Seth's story. After all we journeyed with Seth through we wanted to see him fall in love. Nora Roberts repeatedly said she would not write one. But us fans kept on begging for it and were excited when she finally gave in and wrote it. And we got Chesapeake Blue. Reading it you know you should be grateful because you wanted Seth's story but....this wasn't what I (and my fellow NR fans friends) wanted. First of all I wanted the heroine to be Aubrey. After their beautiful friendship in the Quinn trilogy I expected her to be Seth's love interest. But I tried to keep an open mind after all I loved Anna, Grace, and Sybill, but Dru Whitcomb Banks was a completely let down. All she did was whine and complain about her life which were minor compared to what Cam, Ethan, Philip, and Seth experienced as children. Seth becoming an artist was a surprise too I expected him to join the family business and design boats. The Gloria blackmailing him was a very thin and bad plotline. There's no reason Gloria would want to contact him considering all the warrents for her and that Seth wouldn't tell his family considering the Quinn Brothers (and wives)worked their so hard to keep him away from her. I closed this book vowing never to request, beg or petition an author to write a book when they say they don't want to. Because this is what you get"
158322565X:the_islamo-fascists_murderers_thank_professor_chomsky!:raymond_p._keen,7182,158322565X,"11 de septiembre (9-11, Spanish-Language Edition): Books: Noam Chomsky",books,books,27 of 145,1.0,The Islamo-Fascists Murderers thank Professor Chomsky!,"August 6, 2006",Raymond P. Keen,,"Noam Chomsky has thrived greatly in this great country of his, yours, and mine - the United States of America.  He has made millions of dollars teaching, lecturing, selling his books, and investing.  His world-wide fame in psycholinguistics is well-deserved.  His infamy is merited for his lack of loyalty to his own Jewish ethnicity and the U.S., in spite of the fruits he has received by being a citizen of the United States.  He has repaid this country in bile with his incredibly biased analysis of American foreign policy.  He goes way beyond a balanced multiculturism, when he always ranks the U.S. and Israel as foremost among the terrorist forces in the world now, and even in history.  His distrust of any authority, benign or otherwise, is reflected in his dogmatic and unexamined support of the ""underdog,"" even if that underdog is a suicide bomber or a major terrorist organization such as Al Queda or Hezbollah.

Yet since 1955, hypocrite Chomsky has worked for the ""overdog"" Massachusetts Institute of Technology, which has actively and enthusiastically participated in the development of weapons of War and mass destruction, and continues to this very day.

Chomsky trumps his own potential for gifted analytic objectivity with his simple hatred of the United States and the Jewish State.

If he were not so attached to the freedom of making money, earning the adulation of the American Left, and freedom to express himself, he might be able to give more direct and personal support for our enemies and his friends by taking up residence in North Korea, Iran, or Syria.  Let us hope he retires outside of our homeland that he hates so much, the United States of America.

God Bless America, which will continue to give Chomsky the right to speak, teach, and make lots of money.

Raybo"
0451412095:stranded_on_an_island:k._m._halbig,7323,0451412095,Murder at Five Finger Light: A Jessie Arnold Mystery: Books: Sue Henry,books,books,5 of 6,2.0,Stranded on an Island,"March 12, 2006",K. M. Halbig,California USA,"I have been a fan of Sue Henry since her first Jessie Arnold mystery.  I was looking forward to reading her lastest adventure, but was very disappointed in this outing.  The characters were one-dimensional.  After discovering who the ""bad guys"" were I needed to reread part of the book for clarification.  Sue Henry has a very annoying habit of foreshadowing at the end of many of her chapters.  ""...they hadn't a notion just how decidedly things could - and would - change in the next few hours.""  Even the relationship between Alex and Jessie seemed stilted.  I realize it is difficult to create plausible mysteries for a civilian like musher Jessie Arnold, but this book tried too hard and accomplished too little"
"0441094996:another_self-indulgent_heinlein_novel:kenneth_p._albertson_""ken_a""",8408,0441094996,The Cat Who Walks Through Walls: Books: Robert A. Heinlein,books,books,1 of 4,2.0,Another self-indulgent Heinlein novel,"August 10, 2005","Kenneth P. Albertson ""Ken A""",San Diego,"Heinlein loads this book up with hooks in the early pages to catch your attention.  Unfortunately, these hooks turn out to be superfluous and lead nowhere.  This shoddy technique is found in all four of Hienlein's final books.  We are also treated to some of Heinlein's stock characters, dirty old men, horny female computers, naked adolescent girls, and dominant beauties who would be right at home in leather and whips.  Without these archetype characters most Heinlein novels written after 1970 would have a sparse population indeed.  As if this isn't enough, Heinlein drags in his usual cast of characters from his other novels as he is so prone to doing.  In spite of all their cameo appearances, this group remains dull and one dimensional throughout.  Heinlein's earlier novels written prior to 1960 are still fine fare for young people, especially boys.  This novel, as well as most of Heinlein's later work will be enjoyed primarily by a group of die hard fans and is definitely not for general consumption"
0708919413:beautiful_beginning_/_painful_(illogical)_ending:ramu_nachiappan,8737,0708919413,Sphere (Ulverscroft Large Print): Books: Michael Crichton,books,books,0 of 1,2.0,Beautiful Beginning / Painful (illogical) Ending,"July 20, 2006",Ramu Nachiappan,"Ithaca, NY","I hope the ending is illogical at least and is fiction. If thoughts are that powerful, they need to be resrained earlier. I don't know who survivied but he might feel very guilty about the others earlier and question if he had to survive. Logic can be quite painful when left alone, but sometimes it has to be"
