unique_id/0,unique_id/1,asin,product_name,product_type/0,product_type/1,helpful,rating,title,date,reviewer,reviewer_location,review_text
"0375416811:founder_of_chick_lit:erin_oakes_""avid_reader""",1521,0375416811,"Bridget Jones Diary: Books: Helen Fielding,Tracie Bennett",books,books,,5.0,Founder of chick lit,"August 24, 2006","Erin Oakes ""avid reader""",Central PA,"Bridget Jones, modern day woman, brillant and doesn't know it, prone to accidents and mess ups but manages to come out of them.

This is the book that started it all with the chick lit fever.  Bridget Jones is my hero!"
188105201X:excellent_resource_for_principals!:onickre@mail.milwaukee.k12.wi.us,3294,188105201X,Leadership and the New Science: Learning About Organization from an Orderly Universe: Books: Margaret J. Wheatley,books,books,3 of 3,5.0,Excellent resource for principals!,"July 6, 1999",ONICKRE@mail.milwaukee.k12.wi.us,"Milwaukee, Wisconsin","I am ordering copies for all 23 middle school principals and the two assistant principals leading two middle school programs in the Milwaukee Public Schools system. We will use Wheatley's book as the primary resource  for our professional growth at our MPS Middle School Principals  Collaborative institute August 9-11, 1999. We are not just concerned with  reform; we seek renewal as well. Wheatley provides the basis. She notes  that Einstein said that  a problem cannot be solved from the same  consciousness that created it. The entire book is a marvelous exploration  of this philosophy"
0634079190:fun_to_play:michael_p._nolan,3398,0634079190,"Avenue Q - The Musical (Piano/Vocal arrangement): Books: Robert Lopez,Jeff Marx",books,books,,5.0,Fun to play,"September 15, 2005",Michael P. Nolan,"Tallahassee, FL United States","As a casual piano player and a Broadway fanatic, I was so jazzed to play some of the songs from Avenue Q. The book contains everything you find on the CD and includes a few production photos.
Of course the little details are fun, using terms like ""manilowesque"" ""Huey-Lewis shuffle"" ""prissy sonata"" and ""funky a** groove"" to describe some of the songs. Fun fun fu"
0786423668:what_a_hottie!:elizabeth_m._hill,4967,0786423668,"Kay Francis: A Passionate Life and Career: Books: Lynn Kear,John Rossman",books,books,12 of 12,5.0,What a hottie!,"May 16, 2006",Elizabeth M. Hill,"Decatur, GA USA","This is one of the best biographies I have ever read. You can tell the authors put a lot of time and effort into this work - it's a true labor of love. Filled with beautiful photos and extensive bibliographical notes, this one is a keeper. Who knew Miss Francis was such a ""wild child""? Whether you're a film scholar or a movie buff, Lynn Kear's book deserves a special spot in your bookcase."
"1563523302:great_strategy_+_common_sense:amy-joy_perrone_""aj""",5590,1563523302,"The Millionaire Next Door: The Surprising Secrets of America's Wealthy: Books: Thomas J. Stanley,Thomas J. Stanley Ph. D,William D. Danko Ph.D",books,books,5 of 6,5.0,Great Strategy + Common Sense,"September 22, 2006","Amy-Joy Perrone ""AJ""","Schaumburg, IL","I read this book many, many years ago on a very long flight.  I couldn't put it down.  The philosophy is simple; live frugally, save/invest money every month, and you too can be a millionaire.  It's great advice, especially in this day and age when the younger generation wants the big house, expensive car, and everything else right NOW, with no regard to the future.  Although some of the info is dated (Enron being named as a great company to invest), and some other advice (putting new soles on old shoes) is a bit much, the general message makes plenty of sense."
"1400131464:very,_very_interesting:carrie_gilder_""redgilder""",7711,1400131464,"Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior: Books: Temple Grandin,Catherine Johnson,Shelly Frasier",books,books,5 of 6,4.0,"Very, very interesting","August 28, 2006","Carrie Gilder ""redgilder""","League City, TX United States","This book was someone else's bookclub selection, and I think having no expectations when I picked it up really helped in my having that WOW experience that some folks report with this book and others miss. Yes, the prose needed much better editing: overuse of repetition, ""stock"" phrases, and ""hanging"" assertions that should have been cleaned up.  However, I found the discussions of brain development/evolution, similarities between certain animal behaviors and human behaviors, development of language in different animals, and the coevolution of humans and dogs to be facinating (oops, just gave away the ending!).  I found the side discussion of outcome-based audits interesting and enlightening.  I also liked Dr. Temple's recommendation that people with autism be hired for baggage checking positions.  Great idea! Although the book really goes all over the place, I found it a wonderful opportunity to engage my ""seeking/hunting"" motivation (you'll have to read the book for that one), and worth wading through the flaws to pick up the nuggets of gold"
0674518586:best_leadership_book_i_have_read:sara_a._barnaby,8039,0674518586,Leadership Without Easy Answers: Books: Ronald Heifetz,books,books,1 of 1,5.0,Best Leadership book I have read,"April 15, 2006",Sara A. Barnaby,Minnesota,I have been studing leadership for over 15 years both by reading and experience.  I consider this book to be the best book I have read because it describes leadership as a learned activity.  It also says that leadership is in motivating people to do their own work in solving difficult problems. I found that as President of my congregation I was continually going back to the concepts in the book to lead it through a very difficult situation involving placement of the flags in the sanctuary.  It was very difficult to get people to do their own work and not try to step in to solve everything. (That would have been impossible anyway) I found that he described President Lyndon Johnson as a successful leader (civil rights) and unsuccessful leader ( Vietnam).  His discussion on leading without authority is new ground for me.    If you want to discuss the book with others there is an on-line book study at the Work and Worship Institute website. I found it was a good way for me to get more from the book. This is a great book with great stories of a variety of leaders in our society.
"0670914568:splendid_book_on_world_war_ii_strategic_bombing.:john_matlock_""gunny""",8137,0670914568,"Tail-End Charlies: The Last Battles of the Bomber War, 1944-45: Books: John Nichol",books,books,5 of 5,5.0,Splendid Book on World War II Strategic Bombing.,"August 19, 2006","John Matlock ""Gunny""","Winnemucca, NV","The best book on the history of World War II that I've read in a long time.

The title has three meanings:

1. It can refer to the gunner at the back of a bomber. The Brits called these people 'Rear Gunners.' The Yanks used the term 'Tail Gunner.' It's the most dangerous position in the plane.

2. The last plane in the formation. This was more true in the American Combat Box than in British usage. This position is difficult to hold because it is at the end of a string and every move by the lead ship propagates irregularily through the formation. It is also more dangerous as enemy fighters can attack this ship more easily since there aren't so many guns pointing that direction.

3. It can refer to the bombing missions near the end of the war.

This splendid book covers all three of these meanings. In addition it does an excellent job of discussing the power and importance of air power in the defeat of Germany"
"0849944376:prompts_one_to_think_deeply,_differently,_and_then_act.:karmagold",8959,0849944376,The Call: Finding and Fulfilling the Central Purpose of Your Life: Books: Os Guinness,books,books,,5.0,"Prompts one to think deeply, differently, and then act.","February 15, 2006",Karmagold,Texas,"*** REFERS TO CD RECORDING ****

After picking up and putting down the book countless times I finally listened to this on CD. The time and attention I didn't have for the print version came easily for the audio recording.

Guiness is an engaging and enthusisatic speaker in full command of his subject matter. He draws on foundational Christian truths, historic and contemporary references, anecdotes, and a solid business acumen. He routinely distinguishes between what something is and is not (eg; vocation, calling, surrender) in unequivocal terms. Also, he consistently makes the point that the main reason for our existence is to glorify God; everything else in his presentation simply ties-back to this truth. He explains how we get distracted, how others have, and how we can correct our path, again providing examples. And unlike the Christianity Lite trend in America that often promotes wealth without work or responsibility, Guinness is explicit about the sacrifice inherent in a Christian life, using for example the lives of Leonidas, St. Francis, and Bonhoeffer. He also speaks of the joys of a truly God-centered life.

I recommend THE CALL to anyone who is listening for their own call. It will help you distinguish between a calling and wish-fulfillment/fantasy, acquaint you with others who have heard their call, and inspire you to act. If you've already heard and responded to your call, you'll recognize Guinness as a fellow traveler.

This 3-hour presentation was taped live at Highland Park Presbyterian Church in Dallas, Tx USA. The recording includes 3 audience QandA; sessions of about 10 minutes each. These were as informative as the main presentation, often reflecting the very questions I had while listening.

Recording was produced by Wpublishinggroup.com in Nashville, TN USA"
1594200637:racism_and_infidelity:connoisseur15,9500,1594200637,On Beauty: Books: Zadie Smith,books,books,0 of 1,5.0,Racism and infidelity,"November 9, 2006",connoisseur15,"San Francisco, CA","Zadie Smith is one of the most powerful authors I have read in recent times. She is so subtle about the race factor that we don't get to find out the races of the protagonists till the first 50 pages or so. She has also captured the emotions of Kiki and Zora perfectly (why is it that women always stand out in emotional moments!) and the characters stay with you even after you put the book down.

If you enjoyed the movie ""Crash"", you will love this one"
0739324187:not_a_bad_first_effort_on_the_non-fiction_front_for_grisham:k._palmer,11850,0739324187,"The Innocent Man: Murder and Injustice in a Small Town: Books: John Grisham,Craig Wasson",books,books,1 of 1,4.0,Not a Bad First Effort on the Non-Fiction Front for Grisham,"November 16, 2006",K. Palmer,Illinois,"I've been very critical of the fiction work of John Grisham in recent years and have said many times that he needed to take more time to write his novels to make the stories more interesting.  Well, he has taken time off of writing novels to write this interesting, if not spectacular non-fiction work of the trials and tribulations of Ronald Williamson, a former minor league baseball player implicated in a murder and sentenced to death row.  I won't go into the details of Williamson's ordeal, but I will say that Grisham has written a pretty cut-and-dried book, that probably would have been handled better by career crime writers, but is still interesting nonetheless.  He does a good job giving the details of Ron's case and what he and his family had to go through as events unfolded and Ron suffered from growing mental issues.  Grisham didn't even think about writing Ron's story until after Ron passed away, so there are no interviews to draw upon, but he does a decent job of tying it all together.  I will also say that although he is anti-death penalty, he doesn't hammer that opinion at you.  He lets the story itself do the talking.

I'm actually interested in how this book will impact the quality of Grisham's next novel, as he'll have actually gone almost 3 years between novels by that time.  Hopefully the break will result in a more classic work like ""The Firm"" or ""A Time to Kill"", not dreck like ""The King of Torts"""
"0785264817:zig_is_the_grandfather_of_sales_skills_:todd_b._natenberg_""author,_'i_just_got_a_job_in_sales!_now_what?'_a_playbook_for_skyrocketing_your_commissions,_and_president_of_tbn_sales_solutions""",12512,0785264817,Selling 101: What Every Successful Sales Professional Needs to Know: Books: Zig Ziglar,books,books,5 of 6,5.0,Zig is the grandfather of sales skills,"March 15, 2005","Todd B. Natenberg ""Author, 'I just got a job in sales! Now what?' A Playbook for Skyrocketing Your Commissions, and President of TBN Sales Solutions""","Chicago, IL United States","Zig Ziglar has done it again. As an author myself of sales books,  I realize sales is about so much more than just having the 'gift of gab,' and fast talking. It's about asking the right questions and listening to the right answers. It's about not just being a consultant to others, but being a consultant to yourself. It's recognizing you are in the most honorable profession there is. Zig's theories exemplify this."
